RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
1,Michigan,B10,29,27-2,"129.3
4","91.4
1",".9819
1","58.7
7","44.0
2","16.6
159","16.3
201","36.3
24","28.2
72","38.3
98","26.4
15","62.2
2","43.8
3","36.0
62","29.6
11","42.6
124","42.2
270","71.8
16","+11.3
1"
2,"Duke
   (H) 13 Virginia",ACC,28,26-2,"127.1
7","91.4
2",".9778
2","57.5
13","46.0
13","15.8
114","18.8
68","37.0
18","24.8
9","38.7
87","23.0
2","61.5
3","46.1
17","34.9
122","30.6
29","43.9
92","45.0
332","66.3
247","+10.2
2"
3,"Arizona
   (H) 11 Kansas",B12,28,26-2,"125.7
10","92.0
3",".9732
3","55.1
42","45.1
7","15.1
67","17.2
152","38.6
6","26.1
21","41.9
40","29.2
47","55.7
51","44.0
4","35.7
77","31.4
47","26.8
362","37.1
104","70.5
33","+9.8
3"
4,"Florida
   (H) 20 Arkansas",SEC,28,22-6,"125.4
13","92.0
4",".9722
4","53.5
81","45.9
11","16.5
154","15.6
254","42.4
2","24.6
6","38.5
92","34.0
147","58.4
20","44.8
5","30.4
334","32.1
72","38.5
200","33.7
25","70.3
39","+6.5
11"
5,"Houston
   (H) 80 Colorado",B12,28,23-5,"126.0
9","92.9
5",".9709
5","51.4
176","46.6
18","12.8
3","21.3
11","36.4
20","30.9
195","26.1
357","40.0
293","52.2
162","46.0
15","33.6
201","31.6
51","41.9
134","41.7
259","63.2
353","+6.7
7"
6,Illinois,B10,29,22-7,"133.3
1","98.7
27",".9694
6","55.4
36","47.7
33","13.6
13","11.7
365","39.3
3","26.9
35","33.4
230","19.7
1","57.6
28","47.1
28","35.5
93","32.4
86","51.2
10","41.0
237","65.5
284","+6.3
12"
7,Purdue,B10,28,22-6,"131.1
2","98.9
28",".9625
7","57.9
11","51.2
171","13.7
16","16.3
201","35.5
38","26.0
20","28.9
332","25.8
11","58.2
21","52.5
218","38.4
12","33.1
132","40.5
157","45.3
337","65.3
292","+6.8
6"
8,"Connecticut
   (H) 65 Seton Hall",BE,29,26-3,"124.4
18","94.1
7",".9610
8","56.2
25","44.9
5","16.0
127","18.0
101","34.4
61","28.8
96","30.4
305","40.6
302","57.3
34","44.9
7","36.3
49","30.0
17","39.9
172","35.6
60","65.1
306","+8.7
4"
9,"Iowa St.
   (H) 10 Texas Tech",B12,28,24-4,"124.3
19","94.2
8",".9603
9","57.6
12","48.8
63","15.3
76","22.0
7","35.6
33","28.2
72","35.1
183","27.1
20","56.9
40","49.7
90","39.2
6","31.8
59","38.1
212","42.6
284","67.3
190","+6.6
10"
10,"Texas Tech
   (A) 9 Iowa St.",B12,28,21-7,"126.7
8","98.4
23",".9483
10","56.1
26","49.1
72","15.4
83","15.0
292","34.0
71","28.8
96","28.4
337","31.7
95","53.6
103","50.3
115","39.2
6","31.3
42","46.9
32","35.0
48","67.0
213","+5.3
16"
11,"Kansas
   (A) 3 Arizona",B12,28,21-7,"121.2
35","94.4
9",".9467
11","53.3
87","44.9
5","15.5
92","13.7
343","28.6
246","30.1
156","33.1
235","25.5
10","53.2
119","45.0
9","35.6
84","29.8
16","35.8
254","43.1
292","67.3
192","+6.2
14"
12,"Vanderbilt
   (A) 40 Kentucky",SEC,28,22-6,"125.4
12","97.9
21",".9453
12","56.0
28","47.7
33","13.3
9","18.0
101","31.2
157","29.7
140","38.2
100","41.2
315","57.7
24","48.8
62","35.9
68","30.6
29","44.5
75","38.7
152","69.4
78","+5.0
17"
13,"Virginia
   (A) 2 Duke",ACC,28,25-3,"122.6
28","95.8
15",".9444
13","55.1
42","44.8
4","15.9
122","16.0
233","39.1
4","28.8
96","34.2
212","33.8
143","55.7
51","44.8
5","36.3
49","30.0
17","46.1
42","36.7
90","65.8
268","+6.2
13"
14,"Gonzaga
   (A) 24 Saint Mary's",WCC,30,28-2,"121.0
39","94.6
11",".9442
14","56.6
20","46.4
15","13.5
12","21.0
15","35.5
38","24.7
8","31.2
278","32.4
114","59.0
16","47.1
28","34.1
168","30.4
25","30.7
345","43.2
295","69.5
76","+6.6
9"
15,Michigan St.,B10,28,23-5,"120.7
40","94.5
10",".9439
15","53.3
87","47.4
29","17.3
214","15.1
281","38.6
6","22.4
1","35.7
168","30.4
66","53.7
95","47.3
35","35.0
115","31.6
51","36.8
231","46.2
346","65.7
271","+6.8
5"
16,"Nebraska
   (A) 58 USC",B10,28,24-4,"118.8
54","93.1
6",".9429
16","56.1
26","47.0
23","13.9
19","19.2
49","25.4
336","27.5
51","26.7
352","24.8
6","58.8
17","49.3
76","35.7
77","29.7
14","51.4
8","49.3
361","67.0
207","+6.7
8"
17,"Tennessee
   (H) 19 Alabama",SEC,28,20-8,"121.9
33","95.8
16",".9407
17","52.5
128","47.5
31","18.1
264","16.3
201","45.1
1","27.4
47","40.3
57","35.5
192","52.8
133","49.3
76","34.7
131","30.2
19","32.7
321","44.7
329","65.8
270","+4.2
21"
18,"Louisville
   (A) 33 Clemson",ACC,28,20-8,"125.1
16","98.4
22",".9405
18","56.6
20","48.0
43","16.6
159","17.0
161","33.7
76","26.8
33","34.4
205","32.6
117","59.5
10","47.6
42","36.1
56","32.4
86","53.3
3","39.6
183","70.4
38","+3.3
26"
19,"Alabama
   (A) 17 Tennessee",SEC,28,21-7,"129.9
3","102.7
57",".9370
19","55.8
32","48.7
59","13.2
8","12.3
363","31.9
133","32.1
259","37.5
121","34.2
151","57.7
24","48.2
48","36.1
56","33.0
124","54.2
1","35.3
54","73.5
3","+6.0
15"
20,"Arkansas
   (A) 4 Florida",SEC,28,21-7,"128.6
5","102.4
53",".9325
20","56.9
17","51.0
155","12.2
1","16.3
201","32.6
108","31.5
221","36.3
153","30.9
76","57.3
34","53.8
269","37.5
26","31.2
40","34.4
284","40.0
195","70.8
29","+4.9
18"
